Name,Type,Reviews,No_of_Reviews,Menu,Price_Range,Vegan,Vegetarian
Betty Lou's Seafood and Grill," Seafood, Vegetarian Friendly, Vegan Options",4.5,243,Check The Website for a Menu,Medium,True,True
Coach House Diner," Diner, American, Vegetarian Friendly",4.0,84,Check The Website for a Menu,Medium,False,True
Table Talk Diner," American, Diner, Vegetarian Friendly",4.0,256,http://tabletalkdiner.com/menu/breakfast/,Medium,False,True
Sixty Vines," American, Wine Bar, Vegetarian Friendly",4.5,235,https://sixtyvines.com/menu/plano-tx/,Medium,False,True
The Clam Bar," American, Bar, Seafood",4.0,285,Check The Website for a Menu,Medium,False,False
E Tutto Qua," Seafood, Italian, Pizza",4.5,1406,Check The Website for a Menu,Medium,False,False
Black Angus Steakhouse - Federal Way," American, Steakhouse, Bar",4.0,220,Check The Website for a Menu,Medium,False,False
Ziziki's," Mediterranean, Greek, Healthy",4.5,89,Check The Website for a Menu,Medium,False,False
Vince's Italian Restaurant & Pizzeria," Italian, Pizza, Vegetarian Friendly",4.0,90,Check The Website for a Menu,Medium,False,True
John Thomas Steakhouse," American, Steakhouse, Gluten Free Options",4.0,258,Check The Website for a Menu,Pricey,False,False
ZaZa's Cucina," Italian, Vegetarian Friendly, Gluten Free Options",4.0,271,Check The Website for a Menu,Medium,False,True
Dulin's Cafe," Cafe, American, Vegetarian Friendly",4.5,87,Check The Website for a Menu,Medium,False,True
Wilde Rover Irish Pub & Restaurant," Irish, Bar, Pub",4.0,118,Check The Website for a Menu,Medium,False,False
New World Bistro Bar," American, Bar, Vegetarian Friendly",4.5,706,Check The Website for a Menu,Medium,False,True
Red Eye Cafe," American, Cafe, Healthy",4.5,104,Check The Website for a Menu,Medium,False,False
Winberies Princeton," American, Bar, Pub",4.0,314,Check The Website for a Menu,Medium,False,False
Malbec," Steakhouse, Latin, Argentinean",4.5,193,http://www.malbeccuisine.com/pasadena/lunch-menu,Pricey,False,False
Din Tai Fung," Chinese, Asian, Taiwanese",4.5,1198,Check The Website for a Menu,Medium,False,False
Ravenous," Belgian, French, Cafe",4.5,280,Check The Website for a Menu,Medium,False,False
Mimi's Cafe," American, Cajun & Creole, Vegetarian Friendly",4.0,1807,Check The Website for a Menu,Medium,False,True
