"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","33.12","33.10","33.30","32.86","28.20M","-0.06%"
"12/29/2022","33.14","32.89","33.16","32.75","22.25M","1.13%"
"12/28/2022","32.77","32.57","32.97","32.53","30.54M","0.74%"
"12/27/2022","32.53","32.50","32.67","32.28","22.78M","0.18%"
"12/23/2022","32.47","32.40","32.58","32.19","21.38M","0.25%"
"12/22/2022","32.39","32.52","32.58","31.87","30.23M","-0.89%"
"12/21/2022","32.68","32.52","32.87","32.41","32.54M","1.52%"
"12/20/2022","32.19","32.40","32.58","32.14","35.56M","0.41%"
"12/19/2022","32.06","31.76","32.23","31.73","38.37M","1.14%"
"12/16/2022","31.70","31.62","31.93","31.35","61.80M","-0.22%"
"12/15/2022","31.77","31.75","31.99","31.49","49.03M","-1.58%"
"12/14/2022","32.28","32.80","33.00","32.16","48.82M","-1.44%"
"12/13/2022","32.75","33.55","33.67","32.56","54.80M","0.06%"
"12/12/2022","32.73","32.31","32.78","32.06","41.06M","1.08%"
"12/09/2022","32.38","32.11","32.60","32.08","36.99M","-0.18%"
"12/08/2022","32.44","32.97","32.99","32.18","45.49M","-0.92%"
"12/07/2022","32.74","32.59","32.92","32.35","49.23M","-0.79%"
"12/06/2022","33.00","34.57","34.68","32.40","84.09M","-4.26%"
"12/05/2022","34.47","35.81","35.89","34.14","71.39M","-4.46%"
"12/02/2022","36.08","36.06","36.29","35.81","42.30M","-1.29%"
"12/01/2022","36.55","37.50","37.69","36.40","46.21M","-3.43%"
"11/30/2022","37.85","36.90","37.85","36.20","51.75M","2.30%"
"11/29/2022","37.00","36.98","37.15","36.72","27.05M","0.38%"
"11/28/2022","36.86","37.40","37.66","36.83","35.45M","-2.23%"
"11/25/2022","37.70","37.72","37.87","37.56","16.12M","0.24%"
"11/23/2022","37.61","37.49","37.66","37.37","18.93M","0.32%"
"11/22/2022","37.49","37.59","37.80","37.43","23.50M","0.48%"
"11/21/2022","37.31","37.09","37.52","37.06","27.94M","0.32%"
"11/18/2022","37.19","37.79","37.85","36.92","32.04M","0.05%"
"11/17/2022","37.17","36.88","37.20","36.56","23.69M","-0.51%"
"11/16/2022","37.36","37.61","37.74","37.20","23.81M","-0.90%"
"11/15/2022","37.70","38.19","38.30","37.29","46.08M","-0.16%"
"11/14/2022","37.76","38.09","38.26","37.75","35.54M","-1.69%"
"11/11/2022","38.41","38.19","38.60","37.97","35.69M","0.73%"
"11/10/2022","38.13","37.30","38.22","37.14","45.70M","4.41%"
"11/09/2022","36.52","36.88","36.96","36.39","30.16M","-1.59%"
"11/08/2022","37.11","37.09","37.42","36.75","32.66M","0.27%"
"11/07/2022","37.01","37.01","37.34","36.73","37.53M","0.60%"
"11/04/2022","36.79","36.50","37.00","36.22","39.37M","2.51%"
"11/03/2022","35.89","35.70","36.14","35.41","30.05M","-0.55%"
"11/02/2022","36.09","36.07","37.28","35.95","57.38M","-0.30%"
"11/01/2022","36.20","36.44","36.76","36.11","29.91M","0.44%"
"10/31/2022","36.04","36.00","36.33","35.81","32.57M","-0.39%"
"10/28/2022","36.18","36.04","36.30","35.64","31.66M","0.86%"
"10/27/2022","35.87","36.15","36.37","35.77","35.26M","0.48%"
"10/26/2022","35.70","35.42","36.09","35.35","41.11M","0.88%"
"10/25/2022","35.39","34.74","35.58","34.53","37.13M","0.91%"
"10/24/2022","35.07","35.11","35.26","34.71","33.77M","0.34%"
"10/21/2022","34.95","33.56","35.04","33.56","54.87M","3.71%"
"10/20/2022","33.70","33.98","34.63","33.59","39.55M","-0.65%"
"10/19/2022","33.92","34.58","34.83","33.77","43.14M","-2.75%"
"10/18/2022","34.88","34.98","35.36","34.28","81.94M","3.75%"
"10/17/2022","33.62","33.36","33.87","32.87","88.90M","6.06%"
"10/14/2022","31.70","31.81","32.63","31.57","58.17M","0.03%"
"10/13/2022","31.69","29.41","31.77","29.31","67.67M","6.13%"
"10/12/2022","29.86","29.64","30.31","29.48","36.14M","0.30%"
"10/11/2022","29.77","30.37","30.47","29.57","58.12M","-2.90%"
"10/10/2022","30.66","30.90","31.05","30.35","37.67M","-0.29%"
"10/07/2022","30.75","31.17","31.24","30.52","52.30M","-2.26%"
"10/06/2022","31.46","31.60","31.88","31.36","40.89M","-1.44%"
"10/05/2022","31.92","31.54","32.03","31.45","35.79M","-1.42%"
"10/04/2022","32.38","31.72","32.52","31.66","39.76M","4.15%"
"10/03/2022","31.09","30.59","31.28","30.20","34.59M","2.95%"
"09/30/2022","30.20","30.76","31.19","30.17","42.29M","-1.50%"
"09/29/2022","30.66","30.69","30.90","30.21","35.22M","-1.32%"
"09/28/2022","31.07","30.53","31.31","30.39","38.37M","1.64%"
"09/27/2022","30.57","31.27","31.37","30.30","43.40M","-1.48%"
"09/26/2022","31.03","31.32","31.82","30.68","40.36M","-2.21%"
"09/23/2022","31.73","31.93","32.09","31.21","55.32M","-2.37%"
"09/22/2022","32.50","33.31","33.42","32.39","47.53M","-1.96%"
"09/21/2022","33.15","34.31","34.40","33.12","51.67M","-2.99%"
"09/20/2022","34.17","34.50","34.78","33.88","33.59M","-1.50%"
"09/19/2022","34.69","33.72","34.87","33.63","29.78M","1.67%"
"09/16/2022","34.12","34.19","34.23","33.66","54.28M","-1.13%"
"09/15/2022","34.51","33.79","34.90","33.70","44.86M","1.89%"
"09/14/2022","33.87","34.20","34.42","33.54","32.00M","-0.38%"
"09/13/2022","34.00","34.58","34.72","33.81","40.96M","-3.60%"
"09/12/2022","35.27","35.20","35.63","35.03","30.53M","0.94%"
"09/09/2022","34.94","34.98","35.25","34.84","37.31M","0.84%"
"09/08/2022","34.65","33.46","34.73","33.27","44.36M","3.22%"
"09/07/2022","33.57","32.81","33.67","32.63","40.74M","1.54%"
"09/06/2022","33.06","33.64","33.73","32.61","40.76M","-1.11%"
"09/02/2022","33.43","33.93","34.48","33.27","44.00M","-0.12%"
"09/01/2022","33.47","33.34","33.49","32.66","32.85M","-0.42%"
"08/31/2022","33.61","34.14","34.37","33.60","44.92M","-1.41%"
"08/30/2022","34.09","34.18","34.28","33.54","48.19M","0.56%"
"08/29/2022","33.90","33.86","34.15","33.61","34.93M","-0.38%"
"08/26/2022","34.03","35.44","35.47","34.02","36.15M","-3.16%"
"08/25/2022","35.14","34.60","35.28","34.45","40.58M","1.80%"
"08/24/2022","34.52","34.25","34.79","34.05","31.39M","0.32%"
"08/23/2022","34.41","34.67","34.97","34.36","26.59M","-0.89%"
"08/22/2022","34.72","34.75","34.81","34.45","31.21M","-2.14%"
"08/19/2022","35.48","35.96","36.03","35.31","36.49M","-2.21%"
"08/18/2022","36.28","36.25","36.40","36.00","23.14M","-0.36%"
"08/17/2022","36.41","36.20","36.59","36.08","27.13M","-0.63%"
"08/16/2022","36.64","36.19","36.94","36.10","31.87M","1.08%"
"08/15/2022","36.25","35.84","36.30","35.67","24.91M","-0.14%"
"08/12/2022","36.30","36.16","36.31","35.69","31.82M","1.09%"
"08/11/2022","35.91","35.77","36.06","35.65","50.42M","2.40%"
"08/10/2022","35.07","34.50","35.43","34.45","61.42M","3.39%"
"08/09/2022","33.92","33.65","33.96","33.41","40.20M","1.28%"
"08/08/2022","33.49","34.17","34.29","33.45","33.47M","-1.38%"
"08/05/2022","33.96","33.28","34.33","33.24","35.87M","1.68%"
"08/04/2022","33.40","33.52","33.67","33.17","28.40M","-0.71%"
"08/03/2022","33.64","33.42","33.75","33.17","30.07M","1.82%"
"08/02/2022","33.04","33.60","33.72","33.00","37.88M","-1.99%"
"08/01/2022","33.71","33.62","33.89","33.22","32.34M","-0.30%"
"07/29/2022","33.81","33.47","33.94","33.35","48.15M","1.47%"
"07/28/2022","33.32","33.50","33.75","32.90","40.18M","-0.80%"
"07/27/2022","33.59","33.24","33.77","32.95","30.34M","1.63%"
"07/26/2022","33.05","33.41","33.78","32.96","30.65M","-2.02%"
"07/25/2022","33.73","33.78","33.97","33.44","30.38M","0.90%"
"07/22/2022","33.43","33.60","33.94","33.09","27.12M","-0.65%"
"07/21/2022","33.65","33.09","33.67","32.95","31.24M","0.87%"
"07/20/2022","33.36","33.18","33.45","32.95","35.51M","0.03%"
"07/19/2022","33.35","32.90","33.62","32.68","46.87M","3.38%"
"07/18/2022","32.26","33.08","33.38","32.10","56.38M","0.03%"
"07/15/2022","32.25","30.65","32.63","30.61","77.80M","7.04%"
"07/14/2022","30.13","30.09","30.22","29.67","51.71M","-2.30%"
"07/13/2022","30.84","31.07","31.15","30.40","44.15M","-1.66%"
"07/12/2022","31.36","31.02","32.03","30.98","39.53M","-0.32%"
"07/11/2022","31.46","31.55","31.79","31.29","29.34M","-1.04%"
"07/08/2022","31.79","32.01","32.25","31.56","31.15M","-0.22%"
"07/07/2022","31.86","31.50","32.01","31.47","40.14M","2.84%"
"07/06/2022","30.98","31.01","31.25","30.64","35.93M","-0.83%"
"07/05/2022","31.24","30.80","31.24","30.45","47.44M","-1.01%"
"07/01/2022","31.56","30.98","31.67","30.63","40.24M","1.38%"
"06/30/2022","31.13","31.17","31.55","30.64","46.31M","-2.29%"
"06/29/2022","31.86","32.23","32.44","31.66","35.15M","-1.24%"
"06/28/2022","32.26","32.83","33.50","32.19","49.92M","-0.28%"
"06/27/2022","32.35","32.42","32.60","31.91","47.90M","0.12%"
"06/24/2022","32.31","31.25","32.77","31.23","79.50M","0.72%"
"06/23/2022","32.08","32.38","32.40","31.26","44.09M","-1.60%"
"06/22/2022","32.60","32.39","32.94","32.32","38.34M","-0.76%"
"06/21/2022","32.85","32.89","33.29","32.62","53.54M","2.91%"
"06/17/2022","31.92","32.03","32.58","31.64","80.47M","0.22%"
"06/16/2022","31.85","31.50","32.00","30.86","61.36M","-0.62%"
"06/15/2022","32.05","31.98","32.49","31.42","51.54M","1.88%"
"06/14/2022","31.46","31.92","32.60","31.23","49.35M","-1.75%"
"06/13/2022","32.02","32.39","32.77","31.74","61.22M","-3.47%"
"06/10/2022","33.17","33.68","34.04","33.02","49.35M","-3.88%"
"06/09/2022","34.51","35.74","35.84","34.50","49.46M","-3.85%"
"06/08/2022","35.89","35.92","36.11","35.52","33.59M","-1.27%"
"06/07/2022","36.35","35.90","36.40","35.74","29.15M","0.55%"
"06/06/2022","36.15","36.70","37.21","36.10","40.39M","-0.11%"
"06/03/2022","36.19","36.48","36.68","36.13","25.24M","-1.39%"
"06/02/2022","36.70","36.41","36.71","36.06","35.34M","0.08%"
"06/01/2022","36.67","37.46","37.47","36.17","35.24M","-1.42%"
"05/31/2022","37.20","36.81","37.53","36.61","71.61M","0.49%"
"05/27/2022","37.02","36.89","37.05","36.58","43.37M","0.95%"
"05/26/2022","36.67","36.50","36.84","36.34","60.20M","2.32%"
"05/25/2022","35.84","35.50","36.27","35.29","49.34M","0.53%"
"05/24/2022","35.65","35.47","35.96","34.96","46.15M","-0.61%"
"05/23/2022","35.87","34.76","36.26","34.66","69.08M","5.94%"
"05/20/2022","33.86","34.80","34.98","32.96","62.41M","-1.71%"
"05/19/2022","34.45","34.29","34.84","34.25","47.00M","-1.23%"
"05/18/2022","34.88","35.62","35.69","34.60","47.40M","-3.08%"
"05/17/2022","35.99","35.62","36.22","35.43","42.64M","3.39%"
"05/16/2022","34.81","35.00","35.17","34.41","39.08M","-1.02%"
"05/13/2022","35.17","35.53","35.73","34.76","49.12M","0.29%"
"05/12/2022","35.07","35.01","35.43","34.26","61.23M","-1.41%"
"05/11/2022","35.57","35.90","36.92","35.51","54.97M","-0.53%"
"05/10/2022","35.76","36.75","37.13","35.18","60.24M","-1.68%"
"05/09/2022","36.37","36.87","37.06","36.06","51.24M","-2.88%"
"05/06/2022","37.45","37.37","37.62","36.61","50.44M","-0.24%"
"05/05/2022","37.54","38.05","38.21","36.87","48.86M","-2.80%"
"05/04/2022","38.62","37.37","38.75","37.28","57.86M","4.01%"
"05/03/2022","37.13","36.34","37.63","36.33","48.93M","2.74%"
"05/02/2022","36.14","36.03","36.28","35.40","46.65M","1.29%"
"04/29/2022","35.68","36.75","37.13","35.54","47.42M","-3.07%"
"04/28/2022","36.81","36.73","36.95","36.16","39.57M","1.54%"
"04/27/2022","36.25","36.27","36.91","36.17","39.82M","-0.55%"
"04/26/2022","36.45","36.88","37.54","36.42","44.81M","-2.25%"
"04/25/2022","37.29","36.89","37.40","35.93","64.30M","-0.72%"
"04/22/2022","37.56","38.81","38.85","37.50","50.41M","-3.47%"
