Date,Price,Open,High,Low,Vol.,Change %
"Dec 31, 2022",16537.4,"16,607.2","16,635.9","16,487.3",130.44K,-0.42%
"Dec 30, 2022",16607.2,"16,636.4","16,644.4","16,360.0",192.76K,-0.18%
"Dec 29, 2022",16636.4,"16,546.2","16,659.1","16,496.6",181.47K,0.55%
"Dec 28, 2022",16546.2,"16,705.9","16,781.1","16,474.2",217.96K,-0.96%
"Dec 27, 2022",16706.1,"16,918.2","16,964.0","16,610.1",192.18K,-1.25%
"Dec 26, 2022",16918.1,"16,831.8","16,936.1","16,799.4",133.36K,0.51%
"Dec 25, 2022",16831.8,"16,835.7","16,852.9","16,733.0",132.89K,-0.03%
"Dec 24, 2022",16837.2,"16,778.6","16,855.8","16,777.8",110.12K,0.35%
"Dec 23, 2022",16779.1,"16,820.5","16,910.7","16,768.0",184.12K,-0.25%
"Dec 22, 2022",16820.6,"16,831.8","16,862.2","16,566.1",198.28K,-0.07%
"Dec 21, 2022",16831.8,"16,902.7","16,919.4","16,735.0",174.34K,-0.42%
"Dec 20, 2022",16902.8,"16,441.3","17,031.3","16,400.7",284.57K,2.81%
"Dec 19, 2022",16441.3,"16,741.1","16,809.5","16,331.2",207.93K,-1.79%
"Dec 18, 2022",16741.1,"16,777.0","16,825.7","16,666.5",124.29K,-0.21%
"Dec 17, 2022",16777.1,"16,629.0","16,794.4","16,587.0",164.49K,0.89%
"Dec 16, 2022",16629.6,"17,356.7","17,518.5","16,542.4",303.56K,-4.19%
"Dec 15, 2022",17356.1,"17,796.4","17,846.1","17,298.2",263.44K,-2.47%
"Dec 14, 2022",17796.4,"17,778.6","18,351.8","17,682.1",318.98K,0.10%
"Dec 13, 2022",17778.6,"17,210.9","17,951.6","17,094.5",328.71K,3.30%
"Dec 12, 2022",17210.4,"17,093.2","17,232.5","16,878.5",249.39K,0.68%
"Dec 11, 2022",17093.3,"17,127.0","17,262.9","17,080.6",167.20K,-0.20%
"Dec 10, 2022",17127.2,"17,125.7","17,220.5","17,105.7",148.81K,0.01%
"Dec 09, 2022",17125.7,"17,225.6","17,288.6","17,082.1",260.84K,-0.58%
"Dec 08, 2022",17225.7,"16,835.2","17,294.2","16,765.8",261.64K,2.32%
"Dec 07, 2022",16835.2,"17,089.4","17,126.7","16,715.3",244.36K,-1.49%
