Date,Price,Open,High,Low,Vol.,Change %
01/01/2019,139.15,131.29,139.78,130.06,245.68K,5.98%
01/02/2019,152.05,139.11,155.06,137.94,302.33K,9.28%
01/03/2019,146.04,152.05,153.49,143.48,226.68K,-3.96%
01/04/2019,152.1,146.17,154.57,144.31,249.08K,4.15%
01/05/2019,152.85,152.05,159.00,151.98,274.10K,0.50%
01/06/2019,153.98,152.86,157.37,147.97,395.98K,0.74%
01/07/2019,149.38,153.98,155.24,148.01,325.88K,-2.99%
01/08/2019,147.4,149.43,151.41,145.68,309.20K,-1.33%
01/09/2019,148.11,147.46,151.43,146.92,287.63K,0.48%
01/10/2019,124.97,148.11,149.18,121.16,430.25K,-15.62%
01/11/2019,124.63,124.92,127.26,120.50,388.90K,-0.28%
01/12/2019,123.39,124.61,125.72,122.15,328.97K,-0.99%
01/13/2019,114.13,123.37,123.63,112.13,361.83K,-7.50%
01/14/2019,127.05,114.11,129.30,114.08,435.34K,11.32%
01/15/2019,119.19,127.03,129.02,116.17,501.18K,-6.18%
01/16/2019,121.43,119.11,126.41,118.58,438.02K,1.87%
01/17/2019,121.6,121.63,122.78,117.33,452.69K,0.14%
01/18/2019,119.01,121.60,121.82,117.64,443.17K,-2.13%
01/19/2019,122.61,119.01,125.00,119.01,456.86K,3.02%
01/20/2019,117.34,122.61,123.23,115.99,492.57K,-4.29%
01/21/2019,115.73,117.37,117.93,113.88,431.30K,-1.38%
01/22/2019,117.87,115.75,119.27,111.49,392.17K,1.85%
01/23/2019,116.33,117.90,118.57,115.00,413.81K,-1.31%
01/24/2019,116.24,116.33,116.96,114.13,474.27K,-0.08%
01/25/2019,115.14,116.27,117.22,114.69,430.99K,-0.95%
01/26/2019,115.51,115.21,117.44,115.06,375.04K,0.32%
01/27/2019,112.17,115.51,115.80,111.57,536.71K,-2.90%
01/28/2019,105.47,112.17,112.82,101.09,644.16K,-5.97%
01/29/2019,104.58,105.39,106.45,102.44,475.20K,-0.84%
01/30/2019,108.35,104.55,109.59,103.60,569.87K,3.61%
01/31/2019,106.3,108.35,110.47,105.60,453.65K,-1.89%
02/01/2019,106.76,106.39,108.31,103.88,441.48K,0.43%
02/02/2019,110.47,106.76,110.95,106.17,387.05K,3.47%
02/03/2019,107.38,110.49,111.08,105.97,425.16K,-2.79%
02/04/2019,107.73,107.43,109.12,106.62,532.20K,0.33%
02/05/2019,107.2,107.73,108.09,106.60,413.72K,-0.50%
02/06/2019,104.6,107.19,107.54,101.55,504.35K,-2.42%
02/07/2019,104.42,104.57,106.00,104.05,454.76K,-0.18%
02/08/2019,119.2,104.38,122.74,103.63,578.96K,14.16%
02/09/2019,119.28,119.20,121.02,117.71,499.47K,0.06%
02/10/2019,124.99,119.15,125.73,115.93,463.14K,4.79%
02/11/2019,120.87,124.99,125.10,119.34,526.97K,-3.30%
02/12/2019,122.41,120.87,123.65,118.62,618.13K,1.28%
02/13/2019,121.98,122.24,126.29,120.81,598.19K,-0.35%
02/14/2019,120.4,121.98,124.31,120.34,460.91K,-1.29%
02/15/2019,121.66,120.40,123.90,120.33,632.73K,1.04%
02/16/2019,122.66,121.65,124.50,121.62,564.11K,0.83%
02/17/2019,133.85,122.66,135.47,122.61,462.02K,9.13%
02/18/2019,144.93,133.85,146.00,132.61,357.74K,8.28%
02/19/2019,143.66,144.93,148.13,143.24,726.07K,-0.88%
02/20/2019,148.93,143.29,149.21,140.33,633.17K,3.67%
02/21/2019,145.47,148.47,149.27,143.00,454.87K,-2.32%
02/22/2019,147.54,145.68,148.34,143.91,346.73K,1.43%
02/23/2019,157.51,147.52,159.39,145.87,375.62K,6.75%
02/24/2019,132.24,157.79,165.64,132.03,733.18K,-16.04%
02/25/2019,137.77,132.31,141.35,132.14,663.90K,4.18%
02/26/2019,136.33,137.81,138.41,134.09,447.58K,-1.04%
02/27/2019,135.0,136.43,139.87,127.65,588.13K,-0.98%
02/28/2019,135.34,135.01,138.05,132.86,649.08K,0.25%
03/01/2019,135.31,135.36,137.88,135.00,803.72K,-0.02%
03/02/2019,132.54,135.32,135.98,130.32,869.32K,-2.05%
03/03/2019,130.45,132.54,134.58,128.65,786.86K,-1.58%
03/04/2019,125.76,130.44,130.95,122.85,943.18K,-3.59%
03/05/2019,136.59,125.75,137.86,125.14,1.04M,8.61%
03/06/2019,137.42,136.60,140.18,133.65,1.06M,0.61%
03/07/2019,136.26,137.39,139.52,135.29,783.76K,-0.85%
03/08/2019,133.57,136.62,139.17,131.04,780.32K,-1.97%
03/09/2019,137.17,133.61,138.47,132.84,877.80K,2.69%
03/10/2019,135.36,137.17,137.43,134.11,732.66K,-1.32%
03/11/2019,132.61,135.36,136.12,131.19,804.77K,-2.03%
03/12/2019,133.52,132.62,134.94,128.66,685.12K,0.69%
03/13/2019,131.72,133.53,133.57,130.81,896.26K,-1.34%
03/14/2019,132.16,131.70,134.94,129.98,777.86K,0.33%
03/15/2019,136.6,132.19,137.56,132.19,709.70K,3.36%
03/16/2019,140.94,136.61,144.06,136.61,921.38K,3.18%
03/17/2019,138.71,140.94,140.96,137.38,761.99K,-1.58%
03/18/2019,137.63,138.70,141.91,136.65,794.48K,-0.78%
03/19/2019,138.6,137.60,139.33,137.01,1.28M,0.71%
03/20/2019,139.02,138.56,139.57,136.25,1.01M,0.30%
03/21/2019,134.84,139.04,139.52,132.44,936.99K,-3.01%
03/22/2019,136.04,134.88,137.20,134.30,881.18K,0.90%
03/23/2019,137.28,136.01,138.20,135.62,778.35K,0.91%
03/24/2019,136.14,137.27,137.27,135.13,920.36K,-0.83%
03/25/2019,133.93,136.14,136.83,131.74,862.35K,-1.62%
03/26/2019,134.12,133.95,134.71,132.32,799.43K,0.14%
03/27/2019,139.42,134.16,139.50,133.83,802.07K,3.95%
03/28/2019,137.86,139.19,139.32,137.30,730.16K,-1.12%
03/29/2019,143.13,137.82,143.34,137.34,761.94K,3.82%
03/30/2019,141.69,142.51,145.63,138.74,861.28K,-1.00%
03/31/2019,141.4,141.72,142.34,139.07,849.62K,-0.21%
04/01/2019,141.26,141.40,143.02,139.80,1.05M,-0.10%
04/02/2019,163.42,141.24,163.84,141.02,833.97K,15.69%
04/03/2019,159.88,163.24,177.48,150.40,813.19K,-2.17%
04/04/2019,157.32,159.87,163.81,152.81,1.34M,-1.60%
04/05/2019,164.85,157.35,167.48,156.21,932.78K,4.79%
04/06/2019,165.48,164.83,172.60,159.85,765.53K,0.38%
04/07/2019,174.15,165.48,175.37,164.08,1.00M,5.24%
04/08/2019,178.75,174.16,185.53,171.16,756.53K,2.64%
04/09/2019,174.59,178.71,178.87,172.01,565.42K,-2.33%
04/10/2019,176.95,174.54,183.10,170.43,485.63K,1.35%
04/11/2019,164.0,177.10,177.35,158.70,949.31K,-7.32%
04/12/2019,163.15,164.00,166.23,158.31,534.09K,-0.52%
04/13/2019,163.05,163.10,165.10,160.00,487.11K,-0.06%
04/14/2019,167.04,162.99,167.99,161.23,440.70K,2.45%
