"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","424.89","430.02","430.02","424.84","87.46M","-1.27%"
"12/29/2022","430.35","426.84","430.48","425.10","98.91M","0.68%"
"12/28/2022","427.46","428.53","430.51","427.22","99.51M","-0.13%"
"12/27/2022","428.00","428.28","429.97","427.78","48.80M","0.13%"
"12/23/2022","427.45","427.31","429.42","426.12","83.40M","0.04%"
"12/22/2022","427.26","431.42","433.51","426.80","118.34M","-0.97%"
"12/21/2022","431.44","425.33","431.46","425.33","149.09M","1.71%"
"12/20/2022","424.18","424.12","425.51","421.56","185.55M","-0.40%"
"12/19/2022","425.87","425.38","427.75","425.38","141.44M","0.27%"
"12/16/2022","424.74","429.31","429.89","423.41","447.21M","-1.20%"
"12/15/2022","429.91","440.15","440.15","429.50","211.06M","-2.85%"
"12/14/2022","442.51","441.79","442.67","439.53","181.90M","-0.02%"
"12/13/2022","442.60","437.29","447.11","436.47","202.45M","1.29%"
"12/12/2022","436.98","437.88","438.00","435.67","151.52M","-0.49%"
"12/09/2022","439.13","436.38","439.31","434.94","181.48M","0.84%"
"12/08/2022","435.47","436.14","436.51","434.12","148.45M","-0.17%"
"12/07/2022","436.20","438.03","438.74","435.39","171.42M","-0.62%"
"12/06/2022","438.92","440.94","441.49","437.52","195.38M","-0.58%"
"12/05/2022","441.47","442.94","443.36","440.93","140.02M","-0.41%"
"12/02/2022","443.29","442.81","444.45","439.43","169.89M","-0.15%"
"12/01/2022","443.96","441.56","445.05","441.56","216.05M","0.89%"
"11/30/2022","440.04","438.01","441.13","438.01","384.80M","0.63%"
"11/29/2022","437.29","438.76","440.16","437.02","174.35M","-0.13%"
"11/28/2022","437.85","439.54","439.83","436.50","167.14M","-0.65%"
"11/25/2022","440.73","440.31","441.60","439.67","134.21M","-0.02%"
"11/24/2022","440.84","438.40","441.62","438.25","134.09M","0.46%"
"11/23/2022","438.82","436.37","439.19","435.56","185.29M","0.60%"
"11/22/2022","436.22","433.39","436.91","432.88","160.08M","0.73%"
"11/21/2022","433.06","432.85","434.38","431.90","166.29M","-0.06%"
"11/18/2022","433.33","430.03","433.84","429.82","211.86M","1.16%"
"11/17/2022","428.38","430.78","432.45","425.70","175.80M","-0.42%"
"11/16/2022","430.17","433.85","434.40","429.55","193.48M","-0.98%"
"11/15/2022","434.44","433.03","436.41","432.23","218.42M","0.37%"
"11/14/2022","432.86","432.68","435.65","432.38","180.94M","0.14%"
"11/11/2022","432.26","433.39","435.22","431.51","252.10M","0.09%"
"11/10/2022","431.89","419.26","432.49","418.55","259.44M","2.75%"
"11/09/2022","420.34","420.84","421.34","418.05","166.97M","-0.30%"
