"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2018","17.46","18.31","18.33","17.33","269.17M","-7.08%"
"10/04/2018","18.79","19.60","19.60","18.51","147.21M","-4.38%"
"10/03/2018","19.65","20.22","20.31","19.44","119.92M","-2.09%"
"10/02/2018","20.07","20.93","21.12","19.94","176.15M","-3.09%"
"10/01/2018","20.71","20.38","20.76","20.07","326.66M","17.34%"
"09/28/2018","17.65","18.02","18.53","17.37","504.75M","-13.90%"
"09/27/2018","20.50","20.86","21.00","20.46","127.64M","-0.68%"
"09/26/2018","20.64","20.13","20.93","20.07","117.65M","2.84%"
"09/25/2018","20.07","20.00","20.31","19.77","67.23M","0.45%"
"09/24/2018","19.98","19.90","20.20","19.57","72.64M","0.20%"
"09/21/2018","19.94","19.85","20.04","19.69","75.76M","0.25%"
"09/20/2018","19.89","20.24","20.40","19.56","110.24M","-0.20%"
"09/19/2018","19.93","18.70","20.00","18.70","124.42M","4.89%"
"09/18/2018","19.00","19.78","20.18","18.37","248.21M","-3.36%"
"09/17/2018","19.66","19.34","20.06","19.21","103.31M","-0.10%"
"09/14/2018","19.68","19.25","19.82","19.10","101.48M","1.97%"
"09/13/2018","19.30","19.20","19.67","19.01","95.11M","-0.36%"
"09/12/2018","19.37","18.76","19.50","18.58","150.23M","3.97%"
"09/11/2018","18.63","18.63","18.80","18.24","137.55M","-2.10%"
"09/10/2018","19.03","18.22","19.07","18.07","214.25M","8.43%"
"09/07/2018","17.55","17.34","17.89","16.82","337.38M","-6.30%"
"09/06/2018","18.73","18.99","19.41","18.59","112.21M","0.05%"
"09/05/2018","18.72","19.00","19.12","18.48","115.81M","-2.80%"
"09/04/2018","19.26","19.80","19.88","19.20","125.26M","-4.23%"
"08/31/2018","20.11","20.13","20.35","19.91","80.63M","-0.49%"
"08/30/2018","20.21","20.15","20.31","19.85","108.25M","-0.59%"
"08/29/2018","20.33","20.68","20.79","20.25","111.71M","-2.21%"
"08/28/2018","20.79","21.23","21.26","20.75","114.74M","-2.30%"
"08/27/2018","21.28","21.20","21.50","20.59","196.19M","-1.12%"
"08/24/2018","21.52","21.38","21.59","21.29","54.04M","0.84%"
"08/23/2018","21.34","21.28","21.82","21.21","77.21M","-0.47%"
"08/22/2018","21.44","21.39","21.59","20.98","89.19M","-0.09%"
"08/21/2018","21.46","20.71","21.65","20.60","197.58M","4.38%"
"08/20/2018","20.56","19.45","20.57","19.21","261.04M","0.93%"
"08/17/2018","20.37","21.57","21.78","20.24","284.38M","-8.90%"
"08/16/2018","22.36","22.66","22.82","22.25","90.96M","-0.97%"
"08/15/2018","22.58","22.79","22.97","22.14","136.52M","-2.59%"
"08/14/2018","23.18","23.90","23.95","23.14","104.80M","-2.44%"
"08/13/2018","23.76","24.08","24.21","23.27","156.96M","0.25%"
"08/10/2018","23.70","23.60","24.00","23.07","173.28M","0.85%"
"08/09/2018","23.50","24.37","24.47","23.05","257.76M","-4.82%"
"08/08/2018","24.69","24.61","25.51","24.47","368.57M","-2.41%"
"08/07/2018","25.30","22.92","25.83","22.61","463.14M","10.96%"
"08/06/2018","22.80","23.03","23.67","22.79","128.47M","-1.77%"
"08/03/2018","23.21","23.19","23.67","22.84","204.85M","-0.39%"
"08/02/2018","23.30","21.90","23.33","21.54","348.22M","16.15%"
"08/01/2018","20.06","19.87","20.20","19.53","151.94M","0.91%"
"07/31/2018","19.88","19.48","19.89","19.27","76.15M","2.79%"
"07/30/2018","19.34","19.73","19.74","19.08","102.21M","-2.37%"
"07/27/2018","19.81","20.48","20.51","19.69","85.55M","-3.08%"
"07/26/2018","20.44","20.32","20.71","20.24","69.46M","-0.68%"
"07/25/2018","20.58","19.78","20.64","19.63","106.41M","3.78%"
"07/24/2018","19.83","20.29","20.51","19.50","143.86M","-1.88%"
"07/23/2018","20.21","20.12","20.37","19.52","164.89M","-3.35%"
"07/20/2018","20.91","21.42","21.55","20.78","77.50M","-2.06%"
"07/19/2018","21.35","21.09","21.57","20.93","88.73M","-1.11%"
"07/18/2018","21.59","21.67","21.70","21.08","84.36M","0.37%"
"07/17/2018","21.51","20.59","21.65","20.57","104.94M","4.06%"
"07/16/2018","20.67","20.78","21.01","20.42","117.28M","-2.78%"
"07/13/2018","21.26","21.04","21.31","20.62","88.14M","0.71%"
"07/12/2018","21.11","21.43","21.55","20.85","85.82M","-0.71%"
"07/11/2018","21.26","21.05","21.46","21.00","73.26M","-1.12%"
"07/10/2018","21.50","21.64","21.85","21.28","142.07M","1.27%"
"07/09/2018","21.23","20.80","21.23","20.53","113.95M","3.11%"
"07/06/2018","20.59","20.33","20.80","20.13","132.98M","-0.10%"
"07/05/2018","20.61","20.92","20.96","19.75","262.15M","-0.53%"
"07/03/2018","20.72","22.12","22.17","20.65","184.24M","-7.25%"
"07/02/2018","22.34","24.00","24.32","21.99","281.40M","-2.27%"
"06/29/2018","22.86","23.56","23.59","22.83","97.39M","-2.01%"
"06/28/2018","23.33","23.24","23.80","23.07","125.97M","1.57%"
"06/27/2018","22.97","23.00","23.39","22.63","125.01M","0.75%"
"06/26/2018","22.80","22.40","22.90","21.72","111.79M","2.70%"
"06/25/2018","22.20","22.01","22.56","21.83","103.97M","-0.18%"
"06/22/2018","22.24","23.44","23.48","22.13","153.99M","-4.01%"
"06/21/2018","23.17","24.13","24.41","23.08","119.51M","-4.06%"
"06/20/2018","24.15","23.87","24.29","23.47","125.75M","2.77%"
"06/19/2018","23.50","24.34","24.67","23.08","191.43M","-4.94%"
"06/18/2018","24.72","23.69","24.92","23.63","181.10M","3.52%"
"06/15/2018","23.88","23.59","24.31","23.42","162.72M","0.13%"
"06/14/2018","23.85","23.18","23.92","23.11","164.72M","3.74%"
"06/13/2018","22.99","23.11","23.15","22.65","142.05M","0.61%"
"06/12/2018","22.85","22.98","23.66","22.53","335.21M","3.21%"
"06/11/2018","22.14","21.50","22.31","21.50","197.75M","4.53%"
"06/08/2018","21.18","21.27","21.63","21.14","123.08M","0.52%"
"06/07/2018","21.07","21.08","22.00","20.91","215.18M","-1.08%"
"06/06/2018","21.30","20.03","21.48","19.83","281.51M","9.74%"
"06/05/2018","19.41","19.85","19.85","19.12","89.93M","-1.87%"
"06/04/2018","19.78","19.62","19.93","19.57","71.97M","1.70%"
"06/01/2018","19.45","19.06","19.46","18.92","81.37M","2.48%"
"05/31/2018","18.98","19.15","19.36","18.86","88.80M","-2.42%"
"05/30/2018","19.45","18.89","19.67","18.77","112.35M","2.80%"
"05/29/2018","18.92","18.57","19.10","18.41","85.00M","1.78%"
"05/25/2018","18.59","18.51","18.64","18.37","58.13M","0.38%"
"05/24/2018","18.52","18.56","18.74","18.33","62.65M","-0.43%"
"05/23/2018","18.60","18.52","18.66","18.27","89.78M","1.47%"
"05/22/2018","18.33","19.18","19.20","18.23","134.19M","-3.37%"
"05/21/2018","18.97","18.76","19.43","18.75","137.74M","2.82%"
"05/18/2018","18.45","18.98","18.98","18.27","108.78M","-2.74%"
"05/17/2018","18.97","19.06","19.28","18.93","66.31M","-0.68%"
"05/16/2018","19.10","18.92","19.25","18.77","85.11M","0.79%"
"05/15/2018","18.95","19.00","19.13","18.70","142.79M","-2.62%"
"05/14/2018","19.46","20.22","20.33","19.44","109.30M","-3.04%"
"05/11/2018","20.07","20.51","20.59","19.94","70.19M","-1.28%"
"05/10/2018","20.33","20.50","20.87","20.27","84.77M","-0.64%"
"05/09/2018","20.46","20.03","20.47","20.00","85.91M","1.64%"
"05/08/2018","20.13","20.05","20.52","19.93","88.95M","-0.25%"
"05/07/2018","20.18","19.83","20.40","19.68","130.17M","2.91%"
"05/04/2018","19.61","18.87","19.79","18.63","128.54M","3.43%"
"05/03/2018","18.96","18.59","19.20","18.35","260.28M","-5.58%"
"05/02/2018","20.08","19.90","20.46","19.85","134.56M","0.45%"
"05/01/2018","19.99","19.57","20.05","19.55","69.38M","2.04%"
"04/30/2018","19.59","19.57","19.92","19.50","63.42M","-0.05%"
"04/27/2018","19.60","19.02","19.63","18.92","65.47M","3.00%"
"04/26/2018","19.03","18.58","19.05","18.43","65.34M","1.71%"
"04/25/2018","18.71","18.90","19.01","18.48","60.20M","-1.01%"
"04/24/2018","18.90","19.00","19.14","18.56","85.28M","0.05%"
"04/23/2018","18.89","19.42","19.44","18.82","73.40M","-2.38%"
"04/20/2018","19.35","19.68","20.00","19.32","84.42M","-3.30%"
"04/19/2018","20.01","19.41","20.07","19.24","91.36M","2.30%"
"04/18/2018","19.56","19.41","20.02","19.21","98.37M","1.98%"
"04/17/2018","19.18","19.26","19.48","18.83","105.00M","-1.18%"
"04/16/2018","19.41","19.93","19.98","19.27","95.08M","-3.05%"
"04/13/2018","20.02","20.24","20.26","19.73","109.91M","2.09%"
"04/12/2018","19.61","20.15","20.26","19.58","114.13M","-2.24%"
"04/11/2018","20.06","20.05","20.60","19.98","112.24M","-1.23%"
"04/10/2018","20.31","19.93","20.47","19.58","165.36M","5.18%"
"04/09/2018","19.31","20.02","20.63","19.28","153.75M","-3.21%"
"04/06/2018","19.95","20.07","20.62","19.70","202.80M","-2.11%"
"04/05/2018","20.38","19.29","20.42","19.21","286.82M","6.53%"
"04/04/2018","19.13","16.85","19.22","16.80","298.45M","7.23%"
"04/03/2018","17.84","17.99","18.22","16.97","282.67M","6.00%"
"04/02/2018","16.83","17.08","17.36","16.31","241.71M","-5.13%"
"03/29/2018","17.74","17.10","18.06","16.55","227.56M","3.20%"
"03/28/2018","17.19","17.64","17.91","16.81","315.02M","-7.63%"
"03/27/2018","18.61","20.27","20.28","18.48","208.08M","-8.23%"
"03/26/2018","20.28","20.49","20.51","19.42","125.63M","0.90%"
"03/23/2018","20.10","20.75","20.77","20.03","99.82M","-2.47%"
"03/22/2018","20.61","20.93","21.25","20.55","74.10M","-2.32%"
"03/21/2018","21.10","20.68","21.50","20.68","89.38M","1.93%"
"03/20/2018","20.70","20.99","21.08","20.58","71.46M","-0.96%"
"03/19/2018","20.90","21.10","21.38","20.64","112.26M","-2.43%"
"03/16/2018","21.42","21.73","21.83","21.27","91.76M","-1.34%"
"03/15/2018","21.71","21.96","22.19","21.41","98.47M","-0.32%"
"03/14/2018","21.78","22.45","22.65","21.60","119.51M","-4.43%"
"03/13/2018","22.79","22.99","23.01","22.42","89.49M","-1.04%"
"03/12/2018","23.03","21.91","23.15","21.77","123.96M","5.59%"
"03/09/2018","21.81","21.61","21.90","21.49","82.60M","-0.59%"
"03/08/2018","21.94","22.19","22.22","21.75","53.49M","-0.95%"
"03/07/2018","22.15","21.70","22.17","21.45","75.11M","1.23%"
"03/06/2018","21.88","22.25","22.42","21.80","64.29M","-1.53%"
"03/05/2018","22.22","22.16","22.52","21.95","57.36M","-0.54%"
"03/02/2018","22.34","21.80","22.35","21.53","76.39M","1.27%"
"03/01/2018","22.06","23.00","23.24","22.00","103.28M","-3.54%"
"02/28/2018","22.87","23.50","23.68","22.81","91.04M","-2.26%"
"02/27/2018","23.40","23.75","24.00","23.33","71.96M","-1.80%"
"02/26/2018","23.83","23.57","23.93","23.49","65.10M","1.53%"
"02/23/2018","23.47","23.19","23.67","23.14","87.26M","1.69%"
"02/22/2018","23.08","22.37","23.16","22.32","104.55M","3.87%"
"02/21/2018","22.22","22.40","22.65","22.21","48.29M","-0.45%"
"02/20/2018","22.32","22.30","22.72","22.10","60.14M","-0.22%"
"02/16/2018","22.37","22.17","22.87","22.11","84.64M","0.45%"
"02/15/2018","22.27","21.63","22.27","21.49","88.69M","3.63%"
"02/14/2018","21.49","21.39","21.74","21.23","59.26M","-0.42%"
"02/13/2018","21.58","21.00","21.61","20.83","68.40M","2.52%"
"02/12/2018","21.05","21.08","21.21","20.42","93.42M","1.74%"
"02/09/2018","20.69","21.33","21.40","19.65","194.01M","-1.57%"
"02/08/2018","21.02","22.89","23.24","20.97","154.72M","-8.61%"
"02/07/2018","23.00","22.60","23.07","22.38","104.54M","3.32%"
"02/06/2018","22.26","21.68","22.41","21.57","76.33M","0.23%"
"02/05/2018","22.21","22.53","22.96","22.20","66.96M","-3.10%"
"02/02/2018","22.92","23.23","23.46","22.70","55.57M","-1.55%"
"02/01/2018","23.28","23.40","23.98","23.24","62.97M","-1.44%"
"01/31/2018","23.62","23.17","23.75","23.01","93.21M","2.47%"
"01/30/2018","23.05","23.01","23.22","22.81","70.77M","-1.07%"
"01/29/2018","23.30","22.66","23.39","22.55","71.21M","1.92%"
"01/26/2018","22.86","22.77","22.93","22.38","68.09M","1.55%"
"01/25/2018","22.51","23.22","23.28","22.43","101.10M","-2.39%"
"01/24/2018","23.06","23.64","23.65","22.90","79.31M","-1.96%"
"01/23/2018","23.52","24.00","24.03","23.40","81.98M","0.34%"
"01/22/2018","23.44","23.29","23.86","23.28","93.16M","0.47%"
"01/19/2018","23.33","23.00","23.37","22.84","73.32M","1.57%"
"01/18/2018","22.97","23.04","23.49","22.92","85.29M","-0.73%"
"01/17/2018","23.14","22.70","23.27","22.65","106.55M","2.07%"
"01/16/2018","22.67","22.50","23.00","22.32","97.11M","1.16%"
"01/12/2018","22.41","22.58","22.69","22.24","72.38M","-0.53%"
"01/11/2018","22.53","22.35","22.99","22.22","99.68M","0.94%"
"01/10/2018","22.32","22.15","22.47","22.00","64.65M","0.31%"
"01/09/2018","22.25","22.34","22.59","21.83","107.20M","-0.80%"
"01/08/2018","22.43","21.07","22.47","21.03","147.89M","6.25%"
"01/05/2018","21.11","21.11","21.15","20.80","68.87M","0.67%"
"01/04/2018","20.97","20.86","21.24","20.38","149.19M","-0.85%"
"01/03/2018","21.15","21.40","21.68","21.04","67.82M","-1.03%"
"01/02/2018","21.37","20.80","21.47","20.73","65.28M","2.94%"
"12/29/2017","20.76","21.08","21.09","20.67","56.66M","-1.24%"
"12/28/2017","21.02","20.78","21.05","20.64","64.75M","1.15%"
"12/27/2017","20.78","21.07","21.18","20.72","70.68M","-1.75%"
"12/26/2017","21.15","21.59","21.60","21.11","65.68M","-2.44%"
"12/22/2017","21.68","21.97","22.06","21.65","63.24M","-1.94%"
"12/21/2017","22.11","21.97","22.25","21.81","65.78M","0.82%"
"12/20/2017","21.93","22.18","22.21","21.67","89.31M","-0.63%"
"12/19/2017","22.07","22.68","22.77","22.02","102.37M","-2.30%"
"12/18/2017","22.59","22.99","23.12","22.51","82.14M","-1.35%"
"12/15/2017","22.90","22.80","22.93","22.38","104.00M","1.64%"
"12/14/2017","22.53","22.73","23.16","22.46","87.00M","-0.31%"
"12/13/2017","22.60","22.73","22.95","22.43","93.32M","-0.62%"
"12/12/2017","22.74","22.03","22.76","22.00","131.00M","3.69%"
"12/11/2017","21.93","20.98","21.93","20.92","119.07M","4.38%"
"12/08/2017","21.01","20.97","21.13","20.75","52.03M","1.25%"
"12/07/2017","20.75","20.80","21.24","20.74","71.71M","-0.62%"
"12/06/2017","20.88","20.01","20.89","20.00","107.93M","3.11%"
"12/05/2017","20.25","20.13","20.53","20.07","69.70M","-0.49%"
"12/04/2017","20.35","20.43","20.55","20.04","87.53M","-0.44%"
"12/01/2017","20.44","20.36","20.69","20.34","64.39M","-0.73%"
"11/30/2017","20.59","20.57","20.71","20.30","65.27M","0.44%"
"11/29/2017","20.50","21.15","21.20","20.08","131.51M","-3.16%"
"11/28/2017","21.17","21.09","21.33","20.93","74.24M","0.24%"
"11/27/2017","21.12","20.88","21.16","20.63","68.34M","0.38%"
"11/24/2017","21.04","20.92","21.09","20.73","48.66M","0.96%"
"11/22/2017","20.84","21.12","21.16","20.79","73.76M","-1.65%"
"11/21/2017","21.19","20.72","21.22","20.58","108.92M","2.96%"
"11/20/2017","20.58","20.92","21.03","20.32","123.71M","-2.00%"
"11/17/2017","21.00","21.71","21.78","20.88","206.03M","0.82%"
"11/16/2017","20.83","20.93","21.21","20.75","87.33M","0.39%"
"11/15/2017","20.75","20.40","20.83","20.10","89.68M","0.83%"
"11/14/2017","20.58","21.00","21.09","20.46","85.14M","-2.14%"
"11/13/2017","21.03","20.01","21.12","19.94","113.77M","4.11%"
"11/10/2017","20.20","20.17","20.56","20.12","69.38M","0.00%"
"11/09/2017","20.20","20.17","20.30","19.75","81.71M","-0.44%"
"11/08/2017","20.29","20.37","20.46","20.09","70.88M","-0.54%"
"11/07/2017","20.40","20.07","20.43","20.00","79.41M","1.04%"
"11/06/2017","20.19","20.47","20.50","19.93","97.29M","-1.08%"
"11/03/2017","20.41","19.97","20.42","19.68","133.41M","2.31%"
"11/02/2017","19.95","20.01","20.58","19.51","296.87M","-6.82%"
"11/01/2017","21.41","22.15","22.17","21.35","126.86M","-3.12%"
"10/31/2017","22.10","21.35","22.13","21.35","85.09M","3.56%"
"10/30/2017","21.34","21.28","21.59","21.15","63.82M","-0.23%"
"10/27/2017","21.39","21.32","21.64","21.11","104.70M","-1.61%"
"10/26/2017","21.74","21.85","22.02","21.55","75.35M","0.09%"
"10/25/2017","21.72","22.45","22.50","21.57","128.91M","-3.42%"
"10/24/2017","22.49","22.59","22.85","22.41","67.38M","0.09%"
"10/23/2017","22.47","23.33","23.33","22.42","86.21M","-2.35%"
"10/20/2017","23.01","23.51","23.64","22.96","73.96M","-1.88%"
"10/19/2017","23.45","23.70","23.81","23.21","75.93M","-2.21%"
"10/18/2017","23.98","23.73","24.20","23.61","74.09M","1.10%"
"10/17/2017","23.72","23.39","23.75","23.34","49.40M","1.50%"
"10/16/2017","23.37","23.58","23.63","23.14","80.63M","-1.39%"
"10/13/2017","23.70","23.80","23.90","23.58","53.11M","-0.04%"
"10/12/2017","23.71","23.53","23.99","23.51","61.31M","0.30%"
"10/11/2017","23.64","23.59","23.84","23.41","67.51M","-0.30%"
"10/10/2017","23.71","23.12","23.71","23.04","104.68M","3.72%"
"10/09/2017","22.86","23.31","23.45","22.84","112.40M","-3.91%"
"10/06/2017","23.79","23.54","24.01","23.48","64.46M","0.42%"
"10/05/2017","23.69","23.73","23.83","23.42","62.58M","0.08%"
"10/04/2017","23.67","23.42","23.91","23.31","122.45M","1.98%"
"10/03/2017","23.21","22.39","23.24","22.09","152.30M","1.93%"
"10/02/2017","22.77","22.83","22.91","22.37","79.30M","0.13%"
"09/29/2017","22.74","22.79","22.98","22.57","76.61M","0.44%"
"09/28/2017","22.64","22.66","22.85","22.36","79.79M","-0.40%"
"09/27/2017","22.73","23.33","23.43","22.70","90.91M","-1.26%"
"09/26/2017","23.02","23.40","23.42","22.73","107.34M","0.09%"
"09/25/2017","23.00","23.54","23.83","22.86","114.09M","-1.75%"
"09/22/2017","23.41","24.43","24.66","23.39","122.39M","-4.18%"
"09/21/2017","24.43","24.99","25.12","24.30","69.27M","-2.01%"
"09/20/2017","24.93","24.87","25.22","24.74","73.79M","-0.32%"
"09/19/2017","25.01","25.33","25.49","24.90","96.78M","-2.57%"
"09/18/2017","25.67","25.35","25.97","25.18","107.82M","1.38%"
"09/15/2017","25.32","24.97","25.33","24.85","81.31M","0.56%"
"09/14/2017","25.18","24.29","25.20","24.18","108.04M","3.11%"
"09/13/2017","24.42","24.25","24.54","23.97","62.78M","0.99%"
"09/12/2017","24.18","24.30","24.58","24.03","89.59M","-0.29%"
"09/11/2017","24.25","23.42","24.25","23.33","115.01M","5.94%"
"09/08/2017","22.89","23.27","23.32","22.82","48.95M","-2.05%"
"09/07/2017","23.37","23.07","23.50","22.90","63.59M","1.74%"
"09/06/2017","22.97","23.30","23.40","22.77","61.37M","-1.46%"
"09/05/2017","23.31","23.59","23.70","23.06","57.73M","-1.60%"
"09/01/2017","23.69","23.74","23.84","23.58","45.74M","-0.17%"
"08/31/2017","23.73","23.57","23.90","23.52","61.09M","0.76%"
"08/30/2017","23.55","23.31","23.56","23.13","51.19M","1.68%"
"08/29/2017","23.16","22.63","23.27","22.58","61.11M","0.52%"
"08/28/2017","23.04","23.15","23.16","22.65","56.46M","-0.69%"
