"","Country","Region","Population","Under15","Over60","FertilityRate","LifeExpectancy","ChildMortality","CellularSubscribers","LiteracyRate","GNI","PrimarySchoolEnrollmentMale","PrimarySchoolEnrollmentFemale"
"3","Algeria","Africa",38482,27.42,7.17,2.83,73,20,98.99,NA,8310,98.2,96.4
"5","Angola","Africa",20821,47.58,3.84,6.1,51,163.5,48.38,70.1,5230,93.1,78.2
"19","Benin","Africa",10051,42.95,4.54,5.01,57,89.5,85.33,42.4,1620,NA,NA
"23","Botswana","Africa",2004,33.75,5.63,2.71,66,53.3,142.82,84.5,14550,NA,NA
"27","Burkina Faso","Africa",16460,45.66,3.88,5.78,56,102.4,45.27,NA,1300,60.7,55.9
"28","Burundi","Africa",9850,44.2,3.87,6.21,53,104.3,22.33,67.2,610,NA,NA
"30","Cameroon","Africa",21700,43.08,4.89,4.94,53,94.9,52.35,NA,2330,99.6,87.4
"32","Cape Verde","Africa",494,30.17,7.05,2.38,72,22.2,79.19,84.3,3980,94.6,92.4
"33","Central African Republic","Africa",4525,40.07,5.74,4.54,48,128.6,40.65,56,810,81.3,60.6
"34","Chad","Africa",12448,48.52,3.8,6.49,51,149.8,31.8,34.5,1360,NA,NA
"38","Comoros","Africa",718,42.17,4.5,4.85,62,77.6,28.71,74.9,1110,NA,NA
"39","Congo","Africa",4337,42.37,5.13,5.05,58,96,93.84,NA,3240,92.3,89.3
"42","Ivory Coast","Africa",19840,41.48,5.1,4.91,56,107.6,86.06,56.2,1710,NA,NA
"48","Democratic Republic of the Congo","Africa",65705,45.11,4.51,6.15,49,145.7,23.09,66.8,340,NA,NA
"56","Equatorial Guinea","Africa",736,38.95,4.53,5.04,54,100.3,59.15,93.9,25620,56.5,56
"57","Eritrea","Africa",6131,43.1,3.73,4.88,61,51.8,4.47,67.8,580,37.2,32.5
"59","Ethiopia","Africa",91729,43.29,5.17,4.77,60,68.3,16.67,NA,1110,84.8,79.5
"63","Gabon","Africa",1633,38.49,7.38,4.18,62,62,117.32,88.4,13740,NA,NA
"64","Gambia","Africa",1791,45.9,3.72,5.79,58,72.9,78.89,50,1750,68.2,70.4
"67","Ghana","Africa",25366,38.59,5.4,3.99,64,72,84.78,67.3,1810,NA,NA
"71","Guinea","Africa",11451,42.46,5.03,5.09,55,101.2,44.02,41,1020,85.2,72.1
"72","Guinea-Bissau","Africa",1664,41.55,5.06,5.05,50,129.1,56.18,54.2,1240,76.7,73.3
"89","Kenya","Africa",43178,42.37,4.25,4.54,60,72.9,67.49,87.4,1710,NA,NA
"96","Lesotho","Africa",2052,36.75,6.31,3.15,50,99.6,56.17,89.6,2050,72.2,75.3
"97","Liberia","Africa",4190,43.06,4.76,4.95,59,74.8,49.17,60.8,540,NA,NA
"101","Madagascar","Africa",22294,42.72,4.45,4.59,66,58.2,40.65,NA,950,NA,NA
"102","Malawi","Africa",15906,45.44,4.92,5.55,58,71,25.69,74.8,870,NA,NA
"105","Mali","Africa",14854,47.14,4.29,6.85,51,128,68.32,31.1,1040,70.6,60.8
"108","Mauritania","Africa",3796,40.22,4.94,4.78,59,84,93.6,58,2400,72.8,76
"109","Mauritius","Africa",1240,20.17,13.23,1.51,74,15.1,99.04,88.5,14330,NA,NA
"116","Mozambique","Africa",25203,45.38,5.01,5.34,53,89.7,32.83,56.1,970,94.6,89.4
"118","Namibia","Africa",2259,36.59,5.38,3.17,65,38.7,96.39,88.8,6560,83.8,88.5
"124","Niger","Africa",17157,49.99,4.26,7.58,56,113.5,29.52,NA,720,64.2,52
"125","Nigeria","Africa",169000,44.23,4.49,6.02,53,123.7,58.58,61.3,2290,60.1,54.8
"143","Rwanda","Africa",11458,43.56,3.94,4.73,60,55,40.63,71.1,1270,NA,NA
"149","Sao Tome and Principe","Africa",188,41.6,4.76,4.22,63,53.2,68.26,89.2,2080,NA,NA
"151","Senegal","Africa",13726,43.54,4.57,5.02,61,59.6,73.25,NA,1940,75.9,80.2
"153","Seychelles","Africa",92,21.95,10.05,2.23,74,13.1,145.71,91.8,25140,NA,NA
"154","Sierra Leone","Africa",5979,41.74,4.41,4.86,47,181.6,35.63,42.1,840,NA,NA
"160","South Africa","Africa",52386,29.53,8.44,2.44,58,44.6,126.83,NA,10710,NA,NA
"166","Swaziland","Africa",1231,38.05,5.34,3.48,50,79.7,63.7,87.4,5930,NA,NA
"174","Togo","Africa",6643,41.89,4.44,4.75,56,95.5,50.45,NA,1040,NA,NA
"181","Uganda","Africa",36346,48.54,3.72,6.06,56,68.9,48.38,73.2,1310,89.7,92.3
"185","United Republic of Tanzania","Africa",47783,44.85,4.89,5.36,59,54,55.53,73.2,1500,NA,NA
"193","Zambia","Africa",14075,46.73,3.95,5.77,55,88.5,60.59,71.2,1490,91.4,93.9
"194","Zimbabwe","Africa",13724,40.24,5.68,3.64,54,89.8,72.13,92.2,NA,NA,NA
