happy1,ID,tutorial,distance,direction,born,sports,awake,drink,breakfast,sleep,siblings,siblings_num,pets,beer,coffee,pineapple,pinky,OS,hand,energy,shoes,phone,apartment,room_mates,apps,countries,central_building,food_money,season,coffee_how,tall,bother,happy2
8,Edelz21,8_GESS,4,NW,300,"10,0",energized,tea,yes,7,yes,3,15,4,3,Yes,"4,0",Apple,16,9,4,11,40,3,6,15,yes,170,Fall,Other,173,6,8
7,ludwi1,8_GESS,6,E,700,"4,0",awake,coffee,yes,8,yes,2,0,1,2,Yes,"6,0",Neither,20,7,5,"15,6",85,3,NA,12,No,200,Summer,Withmilk,182,8,7
5,Trift33,8_GESS,2,NW,30,"2,0",tired,water,yes,8,yes,1,NA,1,2,No,"3,0",Microsoft,15,8,4,13,70,2,15,22,No,200,Spring,Withmilk,179,6,6
6,Grüne40,8_GESS,"2,5",SW,65,"2,0",awake,water,yes,7,yes,1,0,2,2,dontmind,"6,3",Both,"16,5",6,10,15,100,2,30,14,yes,150,Summer,Withmilk,174,3,6
8,bergs89,8_GESS,"2,5",N,150,"3,5",awake,tea,yes,8,yes,2,2,5,5,dontmind,"6,0",Microsoft,"19,5",8,7,"17,5",90,4,196,13,yes,180,Fall,Withmilk,175,9,8
5,Alton3809,8_GESS,2,SE,891,"5,0",awake,none,yes,7,yes,3,1,7,7,No,"5,0",Both,15,6,15,9,75,1,17,NA,yes,120,Summer,Withmilk,173,9,5
6,ERLEN7,8_GESS,1,SW,338,"6,0",energized,tea,yes,7,yes,2,NA,2,3,No,"5,0",Both,20,8,10,"14,86",73,2,47,10,yes,150,Winter,Withmilk,178,9,8
7,AmKre9,8_GESS,3,NW,742,"1,0",awake,tea,yes,6,yes,1,3,2,2,dontmind,"6,0",Microsoft,17,7,7,16,90,2,144,11,yes,60,Summer,sugar_milk,165,7,7
5,BILLG15,8_GESS,72,NW,50,"12,0",drowsy,tea,yes,8,no,0,2,3,4,dontmind,"5,0",Apple,17,5,8,"13,7",35,2,97,8,yes,110,Fall,Withmilk,166,2,5
4,Schul26,8_GESS,2,NW,400,"0,0",awake,water,no,6,yes,1,0,2,2,dontmind,"6,5",Microsoft,18,7,6,18,80,1,10,12,No,250,Summer,black,183,1,4
8,GARTE2,8_GESS,3,NW,282,"11,0",awake,coffee,yes,8,yes,3,2,3,2,dontmind,"4,0",Microsoft,20,9,7,"15,6",110,6,100,9,yes,200,Summer,sugar_milk,185,6,8
6,Rhein34,8_GESS,2,S,639,"2,0",awake,water,yes,7,no,0,3,4,4,No,"6,8",Both,"17,5",9,3,"15,4",30,0,55,5,yes,160,Spring,Other,175,6,6
9,Feuer40,8_GESS,"1,5",N,370,"3,0",energized,other,yes,10,yes,3,1,4,4,dontmind,"7,0",Both,24,10,8,18,60,1,70,17,yes,300,Fall,Other,170,7,9
9,Holst58,8_GESS,"0,5",W,600,"4,0",awake,water,yes,8,yes,1,1,1,2,dontmind,"8,0",Apple,21,9,6,19,110,5,103,14,yes,115,Summer,Withmilk,175,2,9
7,rueem9,8_GESS,"2,3",S,818,"1,0",tired,tea,yes,7,yes,1,4,6,2,dontmind,"5,5",Microsoft,"15,5",7,5,"14,5",120,3,130,19,yes,80,Spring,Other,169,8,7
5,fuent2,8_GESS,3,NW,"8600,7","10,0",tired,coffee,no,6,yes,4,5,4,4,No,"5,5",Microsoft,20,4,10,11,77,3,93,3,yes,300,Spring,sugar_milk,167,4,6
7,ortho8,8_GESS,3,N,123,"3,0",awake,coffee,yes,8,no,0,3,2,2,dontmind,"5,0",Microsoft,15,7,7,12,100,5,60,16,yes,150,Spring,Withmilk,168,6,7
6,Garte27,8_GESS,"3,1",NW,461,"3,5",drowsy,coffee,yes,8,yes,1,5,3,3,No,"5,0",Microsoft,14,8,6,12,15,1,15,6,No,100,Spring,Withmilk,164,7,7
8,Haupt29,8_GESS,"1,7",N,350,"1,0",awake,coffee,yes,8,yes,6,2,1,1,dontmind,"7,0",Microsoft,22,8,4,15,89,3,60,10,yes,200,Summer,black,190,6,8
3,Giova8,8_GESS,"1,4",N,"1.373,7","2,0",awake,tea,yes,7,yes,1,3,4,4,No,"6,0",Apple,14,6,3,12,60,4,20,3,No,80,Spring,Withmilk,160,7,4
6,TANNE20,8_GESS,"2,5",NE,437,"4,5",tired,coffee,yes,7,yes,1,6,1,2,dontmind,"6,4",Microsoft,"21,3",6,7,"16,5",90,4,162,8,yes,200,Spring,black,179,7,7
8,Lessi,8_GESS,2,S,300,"3,0",awake,tea,no,8,yes,3,0,3,5,Yes,"5,0",Microsoft,8,6,4,8,8,5,30,10,yes,200,Spring,black,172,10,10
8,amfis74,8_GESS,"0,8",W,57,"0,0",drowsy,tea,yes,8,yes,1,0,1,1,dontmind,"6,0",Microsoft,18,7,8,16,50,1,8,8,No,80,Summer,Withmilk,178,2,8
7,Schal107,8_GESS,2,S,250,"1,0",drowsy,coffee,yes,6,yes,1,3,4,5,dontmind,"9,0",Microsoft,18,10,3,21,90,4,45,18,yes,200,Summer,Withmilk,180,5,6
7,Klaes25,8_GESS,"2,3",NE,155,"10,0",awake,coffee,yes,7,yes,1,4,3,2,Yes,"6,0",Microsoft,15,7,9,15,100,2,84,NA,yes,150,Spring,black,173,6,7
6,Luise3,8_GESS,2,N,150,"1,0",drowsy,coffee,no,6,no,0,0,1,2,dontmind,"6,0",Microsoft,19,8,3,16,100,5,28,9,yes,300,Summer,sugar_milk,186,3,2
9,Matte76c,SP_UWI,3,SE,400,"4,0",awake,water,yes,9,yes,1,1,2,2,No,"7,0",Microsoft,19,8,6,11,99,4,20,12,yes,125,Spring,Other,171,8,5
8,Wilhe9,SP_UWI,"0,3",NE,350,"5,0",awake,coffee,yes,8,yes,2,5,3,3,dontmind,"6,0",Apple,15,7,3,10,20,5,42,15,yes,350,Spring,black,190,3,8
4,STEIG9,SP_UWI,2,S,217,"10,0",awake,tea,yes,8,yes,2,3,3,3,Yes,"5,0",Microsoft,20,7,10,16,450,8,NA,13,yes,300,Summer,Withmilk,177,8,8
7,Yorck,SP_UWI,"0,5",NW,0,"1,0",awake,other,yes,7,yes,4,10,2,2,Yes,"5,5",Apple,17,5,10,14,72,2,35,5,No,400,Spring,Other,171,9,6
8,Mittw14,SP_UWI,3,NW,234,"3,0",awake,juice,yes,8,yes,4,2,3,2,dontmind,"5,5",Microsoft,18,6,4,10,44,1,13,4,yes,200,Summer,Withmilk,180,9,8
4,Garte20,SP_UWI,"2,5",W,620,"7,0",drowsy,water,yes,5,yes,2,3,4,4,dontmind,"8,0",Both,25,3,4,14,15,3,47,10,yes,200,Spring,black,190,2,4
9,Josep12,SP_UWI,"1,2",N,384,"4,0",energized,water,yes,8,yes,1,0,2,2,Yes,"5,5",Microsoft,18,7,6,16,90,4,55,4,yes,240,Summer,Withmilk,174,3,8
4,WOLDS7,SP_UWI,"0,5",N,60,"3,0",tired,water,yes,7,yes,2,3,3,2,No,"5,0",Apple,18,6,8,15,65,2,30,15,yes,200,Spring,sugar,176,6,6
8,Reino28,SP_UWI,"1,5",NW,NA,"2,0",awake,juice,yes,8,yes,2,1,1,1,No,"5,5",Apple,16,7,5,12,80,3,15,7,yes,NA,Spring,Other,160,8,8
6,Luise,NC_UWI,2,S,600,"0,5",tired,coffee,yes,6,yes,2,4,1,2,dontmind,"6,0",Both,14,6,5,15,40,4,10,5,No,150,Spring,Withmilk,174,6,4
7,Laven43,12_GESS,3,N,148,"3,0",awake,coffee,no,8,yes,1,1,2,2,Yes,"5,0",Microsoft,18,9,25,12,120,2,73,21,yes,200,Summer,sugar_milk,163,6,9
4,Steff27,SP_UWI,3,N,300,"4,0",tired,coffee,no,8,yes,1,2,2,2,Yes,"5,0",Microsoft,20,1,7,19,100,3,23,13,No,250,Spring,black,180,6,2
5,Arist74,SP_UWI,"2,2",S,"2,3","2,0",drowsy,tea,yes,7,yes,1,12,3,3,Yes,"4,5",Microsoft,20,7,10,12,80,3,40,8,yes,100,Fall,Other,167,5,7
9,Bären8,SP_UWI,"0,3",NE,81,"5,0",awake,water,yes,7,no,0,0,3,3,Yes,"5,4",Microsoft,9,8,2,15,20,1,50,14,yes,150,Summer,Other,180,5,8
5,Röhrh12,SP_UWI,3,N,225,"6,5",drowsy,coffee,yes,9,yes,2,3,4,5,dontmind,"5,5",Microsoft,"19,5",7,6,16,110,4,14,9,yes,218,Summer,milk,"168,5",9,6
9,Possa6,NC_UWI,"0,5",N,"574,11","5,0",awake,tea,yes,8,no,0,1,6,6,dontmind,"5,5",Microsoft,20,2,12,17,90,4,15,10,No,100,Summer,sugar_milk,172,8,7
5,Agia.Triada,12_GESS,45,N,"2,396","0,0",tired,coffee,yes,6,yes,1,1,4,4,No,"2,5",Both,4,6,10,12,"33,3",0,25,3,yes,300,Summer,milk,160,1,7
7,Abels7,12_GESS,2,N,56,"4,0",awake,water,yes,6,yes,4,7,2,4,Yes,"3,5",Apple,10,8,3,12,83,2,113,21,yes,250,Spring,black,168,10,9
7,inder2,SP_UWI,"3,7",NW,475,"3,0",energized,tea,no,9,yes,3,3,3,3,Yes,"6,2",Both,"21,3",7,11,16,130,5,16,9,yes,190,Spring,milk,179,3,7
7,König,NC_UWI,1,W,60,"3,0",awake,tea,yes,7,yes,1,4,3,3,No,"7,0",Microsoft,18,8,10,12,75,5,10,10,yes,40,Spring,milk,179,9,10
9,Schwa137,NC_UWI,1,E,300,"2,0",awake,coffee,yes,8,yes,1,6,3,3,dontmind,"6,0",Apple,17,8,6,13,120,3,20,14,yes,400,Summer,milk,180,2,8
6,GNEISE59,12_GESS,2,W,300,"4,0",drowsy,coffee,yes,7,yes,2,0,3,4,Yes,"6,0",Microsoft,21,5,3,"16,5",13,2,98,20,yes,200,Summer,milk,180,3,7
6,Reitb284,SP_UWI,100,NW,89,"0,0",awake,water,yes,7,yes,3,1,2,2,No,"3,0",Apple,17,4,5,17,11,2,NA,5,yes,200,Summer,Other,165,4,3
6,Tycho12,NC_UWI,4,N,56,"2,0",drowsy,tea,yes,7,yes,2,1,2,2,Yes,"5,0",Microsoft,13,5,5,17,100,5,29,9,yes,200,Spring,Other,175,5,5
7,Raben2,NC_UWI,0,SW,381,"8,0",tired,water,yes,9,yes,1,2,1,2,dontmind,"6,0",Apple,15,3,15,12,18,5,31,12,yes,200,Summer,milk,172,4,7
4,Grach37,SP_UWI,"0,4",SE,400,"2,0",awake,tea,yes,8,yes,1,9,3,4,dontmind,"4,0",Apple,21,NA,5,12,50,1,10,6,yes,170,Spring,milk,169,4,5
8,Föhre8,NC_UWI,"2,5",NW,203,"4,0",drowsy,juice,no,9,yes,1,3,3,3,Yes,"4,0",Apple,17,6,7,17,58,1,43,5,yes,150,Summer,Other,172,6,6
7,VONBO40,12_GESS,3,NW,245,"1,0",awake,juice,yes,8,yes,2,1,1,1,dontmind,"7,0",Microsoft,"22,5",7,6,14,210,8,87,16,yes,150,Spring,Other,193,3,8
7,"Nerim,11",8_GESS,NA,SE,3600,"10,0",awake,milk,yes,7,yes,1,2,5,5,No,"4,5",Microsoft,14,7,5,"15,7",NA,2,50,5,yes,300,Winter,black,178,1,7
7,Linde6a,12_GESS,"1,2",NE,135,"5,0",awake,coffee,yes,8,yes,1,1,4,4,No,"6,0",Apple,18,8,15,"11,9",80,2,24,15,yes,150,Spring,milk,170,4,7
7,Steen17,12_GESS,"0,5",N,60,"0,0",awake,tea,no,6,yes,2,3,3,4,dontmind,"4,0",Microsoft,13,7,7,12,120,5,40,23,yes,120,Summer,milk,162,1,8
5,Ruege6,NC_UWI,2,NE,146,"2,0",drowsy,coffee,yes,8,no,0,2,2,2,dontmind,"7,0",Apple,18,5,6,12,70,3,40,15,No,200,Spring,milk,170,5,4
8,Veilc9,SP_UWI,"2,5",SE,496,"5,0",awake,water,yes,8,yes,1,10,3,2,Yes,"6,5",Microsoft,NA,7,6,8,150,7,5,18,yes,160,Spring,Other,178,8,8
6,GRUND3,SP_UWI,2,N,316,"3,0",awake,juice,yes,6,yes,2,6,1,1,dontmind,"6,5",Microsoft,19,7,4,15,135,4,35,12,yes,180,Spring,milk,175,8,6
9,Carls36,NC_UWI,"0,50",W,400,"7,0",energized,tea,yes,8,yes,3,2,4,4,No,"9,5",Microsoft,17,8,14,17,NA,6,10,7,yes,150,Summer,Other,174,9,9
5,Rotek,12_GESS,3,NE,112,"6,0",awake,coffee,yes,6,yes,2,40,2,2,dontmind,"5,5",Microsoft,"16,5",5,13,17,30,0,20,5,yes,150,Summer,milk,170,5,5
6,WEIDM50,SP_UWI,5,NE,"574,11","10,0",drowsy,tea,yes,10,yes,1,6,3,4,No,"4,5",Microsoft,18,6,25,12,90,4,82,13,yes,200,Summer,milk,158,1,5
8,Raube7,12_GESS,2,SW,483,"2,0",awake,tea,yes,6,yes,1,3,4,5,dontmind,"5,5",Apple,16,9,8,"13,5",60,2,60,6,yes,200,Spring,milk,165,2,7
